Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
Ярошинская Ольга Алексеевна: Злая зима,305 ₽,Ольга Ярошинская,Романтический покет,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-186945-8,16+,2024,448,Мягкий переплёт,газетная,113x165  мм,0.20  кг
Вешкина Татьяна Константиновна: Некромантия в быту. Предания старины,662 ₽,Татьяна Вешкина,Young adult. Ориджиналы,Русское фэнтези,"Эксмо, Like Book, Редакция 1",978-5-04-187030-0,16+,2023,288,Мягкий переплёт,офсет,140x210  мм,0.27  кг
Тигрис Кира: Дневники Джинна,1 614 ₽,Кира Тигрис,Академия Магиров,Русское фэнтези,Нет данных,978-5-517-08902-1,16+,2022,346,Нет данных,Нет данных,155x215  мм,0.46  кг
Остин Лина: Сестры полуночи. Элистер,1 869 ₽,Лина Остин,Нет данных,Русское фэнтези,RUGRAM,978-5-517-08324-1,18+,2022,468,Твёрдый переплёт,Нет данных,152x217  мм,0.68  кг
Walli Vell: (Не)счастье для попаданки,1 444 ₽,Walli Vell,Нет данных,Русское фэнтези,Нет данных,978-5-517-10064-1,16+,2023,392,Твёрдый переплёт,Нет данных,153x216  мм,0.61  кг
Кутузова Лада Валентиновна: Костяное царство. Страшно быть богом,577 ₽,Лада Кутузова,NoSugar. Ведьмин круг,Русское фэнтези,"АСТ, NoSugar Books",978-5-17-157626-4,12+,2023,384,Твёрдый переплёт,офсет,133x207  мм,0.37  кг
Грачева Татьяна Александровна: Дневник Рыжего,1 529 ₽,Татьяна Грачева,Нет данных,Русское фэнтези,RUGRAM,978-5-517-10317-8,16+,2023,286,Мягкий заламинированный картон,Нет данных,153x217  мм,0.46  кг
Рахаева Юлия: Брат Вереска. Кн. 2,2 549 ₽,Юлия Рахаева,Миры Юлии Рахаевой,Русское фэнтези,RUGRAM,978-5-517-10131-0,18+,2023,638,Твёрдый переплёт,Нет данных,153x217  мм,0.89  кг
Минаева Евгения: Король Севера. Измена,1 784 ₽,Евгения Минаева,Король Севера,Русское фэнтези,RUGRAM,978-5-517-10078-8,18+,2023,420,Твёрдый переплёт,Нет данных,153x217  мм,0.55  кг
Орлова Тальяна: Каменная княжна,1 359 ₽,Тальяна Орлова,ЛитРес: Фэнтези,Русское фэнтези,Нет данных,978-5-535-23215-7,16+,2023,320,Твёрдый переплёт,Нет данных,135x208  мм,0.37  кг
Евтухова Ксения: Магическая академия Реймонфола,1 529 ₽,Ксения Евтухова,Меж пятью мирами Уларии,Русское фэнтези,RUGRAM,978-5-517-09837-5,16+,2023,326,Твёрдый переплёт,Нет данных,154x217  мм,0.51  кг
Русинова Наталья: Ниенна. Благословленная Смертью,1 784 ₽,Наталья Русинова,Охотницы за упырями,Русское фэнтези,RUGRAM,978-5-517-10175-4,16+,2023,468,Твёрдый переплёт,Нет данных,153x217  мм,0.68  кг
Сойтту Анна: Ингрид. Путь Древней крови,1 232 ₽,Анна Сойтту,Ведьмы Ниапара,Русское фэнтези,RUGRAM,978-5-517-09115-4,12+,2022,256,Твёрдый переплёт,Нет данных,153x217  мм,0.37  кг
Лебедева Жанна: Хозяйка странного дома,1 529 ₽,Жанна Лебедева,Нет данных,Русское фэнтези,Нет данных,978-5-517-10101-3,16+,2023,272,Твёрдый переплёт,Нет данных,154x217  мм,0.44  кг
Московских Натали: Нити Данталли,2 379 ₽,Натали Московских,Хроники Арреды,Русское фэнтези,RUGRAM,978-5-517-09757-6,18+,2023,566,Твёрдый переплёт,Нет данных,153x217  мм,0.69  кг
Онегина Женя: Тысяча ступеней,977 ₽,Женя Онегина,Тысячи,Русское фэнтези,RUGRAM,978-5-517-10183-9,16+,2023,156,Твёрдый переплёт,Нет данных,153x217  мм,0.30  кг
Хабарова Леока: Жених,1 189 ₽,Леока Хабарова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-09162-8,18+,2023,252,Твёрдый переплёт,Нет данных,154x217  мм,0.37  кг
Туерко Терри: Потерянные,1 529 ₽,Терри Туерко,Потерянные,Русское фэнтези,RUGRAM,978-5-517-09916-7,16+,2023,234,Твёрдый переплёт,Нет данных,153x217  мм,0.40  кг
Резанова Наталья Владимировна: Призрак двенадцатой ночи,1 614 ₽,Наталья Резанова,Иносказанья,Русское фэнтези,RUGRAM,978-5-517-05290-2,16+,2022,374,Твёрдый переплёт,Нет данных,154x218  мм,0.56  кг
Пушной Валерий Александрович: Пляски сумасшедших снов,848 ₽,Валерий Пушной,Нет данных,Русское фэнтези,Скифия,978-5-00025-312-0,Нет данных,2023,340,Твёрдый переплёт,Нет данных,145x210  мм,0.48  кг
"Сью Санна: Хозяйка маршрута ""Иные миры""",620 ₽,Санна Сью,Рецепт идеального волшебства,Русское фэнтези,"АСТ, Жанры",978-5-17-156361-5,16+,2023,320,Твёрдый переплёт,газетная,135x207  мм,0.27  кг
Косухина Наталья Викторовна: Корпорация Лемнискату. И замкнется круг,1 444 ₽,Наталья Косухина,Корпорация Лемнискату,Русское фэнтези,Нет данных,978-5-517-08952-6,16+,2022,292,Нет данных,Нет данных,155x215  мм,0.40  кг
Соболянская Елизавета Владимировна: Дарина,1 444 ₽,Елизавета Соболянская,Клуб «Огненный дракон»,Русское фэнтези,RUGRAM,978-5-517-08424-8,18+,2022,332,Мягкий переплёт,Нет данных,153x217  мм,0.44  кг
"Наумова Сора, Дубинина Мария: Академия небытия. Как не умереть дважды",620 ₽,"Сора Наумова, Мария Дубинина",NoSugar. Магические школы,Русское фэнтези,"АСТ, NoSugar Books",978-5-17-158408-5,16+,2023,512,Твёрдый переплёт,газетная,132x207  мм,0.47  кг
Фуллер Ирина: Эксплеты. Совет девяти,637 ₽,Ирина Фуллер,Young Adult. Книжный бунт. Новые сказки (покет большого формата),Русское фэнтези,"Эксмо, Редакция 1",978-5-04-187077-5,16+,2023,480,Мягкий переплёт,офсет,137x210  мм,0.48  кг
Коротаева Ольга Ивановна: Моя мачеха - землянка,2 039 ₽,Ольга Коротаева,Нет данных,Русское фэнтези,RUGRAM,978-5-517-10245-4,16+,2023,468,Твёрдый переплёт,Нет данных,154x217  мм,0.71  кг
Ганчуков Илья: В руках богини. Том 1,365 ₽,Илья Ганчуков,Нет данных,Русское фэнтези,Нет данных,978-5-4491-1705-2,16+,2023,286,Твёрдый переплёт,Нет данных,153x217  мм,0.47  кг
Мамлеева Наталья Ринатовна: Фея в Академии Черного дракона,1 359 ₽,Мамлеева Наталья Ринатовна,Дракмар,Русское фэнтези,RUGRAM,978-5-517-10179-2,16+,2023,302,Твёрдый переплёт,Нет данных,153x217  мм,0.49  кг
Дечко Марина: Ярослава. Ворожея,1 614 ₽,Марина Дечко,Мир старых богов,Русское фэнтези,RUGRAM,978-5-517-09124-6,16+,2023,392,Твёрдый переплёт,Нет данных,153x217  мм,0.51  кг
Дечко Марина: Ярослава. Знахарка,1 614 ₽,Марина Дечко,Мир старых богов,Русское фэнтези,RUGRAM,978-5-517-09123-9,16+,2023,392,Твёрдый переплёт,Нет данных,153x217  мм,0.52  кг
Абрамкина Оксана: Сны и железо,1 444 ₽,Оксана Абрамкина,Пятигранные Королевства,Русское фэнтези,RUGRAM,978-5-517-10315-4,16+,2023,226,Твёрдый переплёт,Нет данных,153x217  мм,0.34  кг
"Шелонин Олег Александрович, Шелонина Елена: Дело о похищенном корыте",1 529 ₽,"Олег Шелонин, Елена Шелонина",Детективное агентство «Натали и Ко»,Русское фэнтези,RUGRAM,978-5-517-09144-4,16+,2023,386,Твёрдый переплёт,Нет данных,153x217  мм,0.51  кг
Огней Шана: Между людьми и кначетами,1 699 ₽,Шана Огней,Право на жизнь,Русское фэнтези,Animedia,978-80-7499-498-2,16+,2023,374,Твёрдый переплёт,Нет данных,153x217  мм,0.50  кг
"Шелонин Олег Александрович, Шелонина Елена: Очарованный меч",1 529 ₽,"Олег Шелонин, Елена Шелонина",Детективное агентство «Натали и Ко»,Русское фэнтези,RUGRAM,978-5-517-09164-2,16+,2023,402,Твёрдый переплёт,Нет данных,153x217  мм,0.53  кг
Крейцер Ксения: Темная порода,1 869 ₽,Ксения Крейцер,Fantasy worlds,Русское фэнтези,Нет данных,978-5-517-10337-6,16+,2023,378,Твёрдый переплёт,Нет данных,153x217  мм,0.59  кг
Roshe Oleg: Аномалии внутри меня. Part 1,1 699 ₽,Oleg Roshe,Нет данных,Русское фэнтези,Москва,978-5-605-03300-4,Нет данных,2024,368,Твёрдый переплёт,Нет данных,153x217  мм,0.50  кг
Корк Ольга: Личная ведьма Палача,1 444 ₽,Ольга Корк,Сольган,Русское фэнтези,RUGRAM,978-5-517-10206-5,16+,2023,206,Твёрдый переплёт,Нет данных,153x217  мм,0.36  кг
Соболянская Елизавета Владимировна: Зануда в Академии Драконов,1 359 ₽,Елизавета Соболянская,Зануда,Русское фэнтези,RUGRAM,978-5-517-10216-4,16+,2023,332,Твёрдый переплёт,Нет данных,153x217  мм,0.44  кг
Крас Ксен: Звериное начало. Т. 2,2 039 ₽,Ксен Крас,Звериное начало,Русское фэнтези,RUGRAM,978-5-517-10036-8,16+,2023,498,Твёрдый переплёт,Нет данных,153x217  мм,0.72  кг
Пугачевская Александра: Зоя,799 ₽,Александра Пугачевская,Нет данных,Русское фэнтези,Издательские решения,978-5-0055-9943-8,12+,2023,342,Мягкий переплёт,Нет данных,145x205  мм,0.41  кг
Байпаков Марат: Кангюй. Парфяне,809 ₽,Марат Байпаков,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-5176-2,18+,2023,264,Мягкий переплёт,Нет данных,145x205  мм,0.32  кг
Фракта Стелла: Невероятный шпионский детектив,779 ₽,Стелла Фракта,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-7907-0,18+,2023,238,Мягкий переплёт,Нет данных,145x205  мм,0.29  кг
Авлошенко Татьяна: Стальная корона,599 ₽,Татьяна Авлошенко,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-7155-5,16+,2023,190,Мягкий переплёт,Нет данных,145x205  мм,0.24  кг
Блажко Денис: Академия снов,1 359 ₽,Денис Блажко,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-7453-2,18+,2023,542,Мягкий переплёт,Нет данных,145x205  мм,0.64  кг
Саксин Игорь: Ангел по имени Смерть,809 ₽,Игорь Саксин,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-8101-1,18+,2023,300,Мягкий переплёт,Нет данных,145x205  мм,0.36  кг
Байпаков Марат: Кангюй,759 ₽,Марат Байпаков,Нет данных,Русское фэнтези,Издательские решения,978-5-0053-8537-6,18+,2021,242,Мягкий переплёт,Нет данных,145x205  мм,0.30  кг
Васютин Андрей: Красный блокчейн,1 249 ₽,Андрей Васютин,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-5244-8,18+,2023,572,Мягкий переплёт,Нет данных,145x205  мм,0.68  кг
Миррай Светлана: Путешествие в Советский Союз,1 309 ₽,Светлана Миррай,Нет данных,Русское фэнтези,Издательские решения,978-5-0056-1849-8,18+,2023,96,Мягкий переплёт,Нет данных,145x205  мм,0.13  кг
Ленник Инна: Сказания о Черничной фее,829 ₽,Инна Ленник,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-7277-4,18+,2023,78,Мягкий переплёт,Нет данных,145x205  мм,0.11  кг
Орлова Тальяна: Алмазная императрица,1 359 ₽,Тальяна Орлова,ЛитРес: Фэнтези,Русское фэнтези,Нет данных,978-5-535-23216-4,16+,2023,320,Твёрдый переплёт,Нет данных,135x207  мм,0.37  кг
Макото Кибанега: Алькуок и призрак вертикального города,412 ₽,Макото Кибанега,Нет данных,Русское фэнтези,ИПЛ,978-5-4260-0371-2,Нет данных,2023,424,Мягкий переплёт,Нет данных,140x200  мм,0.37  кг
Маркович Ольга: Конец Времен,346 ₽,Ольга Маркович,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-1111-7,16+,2023,84,Нет данных,Нет данных,145x205  мм,0.11  кг
Обухова Лена: Магический спецкурс. Первый семестр,2 039 ₽,Лена Обухова,Академии за Занавесью,Русское фэнтези,Нет данных,978-5-517-10188-4,16+,2023,344,Твёрдый переплёт,Нет данных,136x206  мм,0.47  кг
Фельдман Ирина Игоревна: Академия превращений,577 ₽,Ирина Фельдман,Академия Магии,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-177736-4,16+,2023,384,Твёрдый переплёт,газетная,135x207  мм,0.31  кг
Звёздная Елена: Академия Ранмарн,594 ₽,Елена Звёздная,Звездное Настроение,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-180392-6,16+,2023,416,Твёрдый переплёт,офсет,130x205  мм,0.41  кг
Ежова Лана: И. о. темной принцессы,594 ₽,Лана Ежова,Колдовские миры Ланы Ежовой,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-180686-6,16+,2023,384,Твёрдый переплёт,газетная,130x205  мм,0.30  кг
"Боталова Мария Николаевна: Академия двойников, или Стань мною ненадолго",577 ₽,Мария Боталова,Академия Магии,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-182090-9,16+,2023,352,Твёрдый переплёт,газетная,135x207  мм,0.30  кг
Гурова Анна Евгеньевна: Громовая жемчужина. Том 2. Лунный воин,764 ₽,Анна Гурова,Восточное фэнтези,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-184162-1,16+,2023,416,Твёрдый переплёт,газетная,128x205  мм,0.36  кг
Шаенская Анна: Невеста до рассвета,620 ₽,Анна Шаенская,Любовь внеземная,Русское фэнтези,"АСТ, Жанры",978-5-17-157449-9,16+,2023,384,Твёрдый переплёт,газетная,133x207  мм,0.30  кг
Головачёв Василий Васильевич: Ведьмина поляна-2,637 ₽,Василий Головачёв,Абсолютное оружие Василия Головачёва,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-187018-8,16+,2023,320,Твёрдый переплёт,газетная,130x206  мм,0.27  кг
Андрианова Анастасия Александровна: Мертвое Царство,722 ₽,Анастасия Андрианова,Young Adult. Книжный бунт. Новые сказки,Русское фэнтези,Нет данных,978-5-04-187720-0,16+,2023,448,Твёрдый переплёт,офсет,130x207  мм,0.44  кг
Волкова Яна: Восход Авроры. Темный час,620 ₽,Яна Волкова,Young Adult. Хиты молодежного фэнтези,Русское фэнтези,"Эксмо, Like Book, Редакция 1",978-5-04-189872-4,18+,2023,352,Твёрдый переплёт,офсет,130x207  мм,0.35  кг
"Муравьев Константин Николаевич: Дорога, ведущая в никуда",620 ₽,Константин Муравьев,Боевая фантастика,Русское фэнтези,АСТ,978-5-17-151543-0,16+,2023,352,Твёрдый переплёт,газетная,135x207  мм,0.28  кг
Кобцева Ольга: Двуликие (#1),679 ₽,Ольга Кобцева,Young Adult. Мертвая королева,Русское фэнтези,"Эксмо, Freedom",978-5-04-179831-4,18+,2023,544,Твёрдый переплёт,офсет,132x207  мм,0.51  кг
Итиль Ирина: Биврёст,679 ₽,Ирина Итиль,Словотворцы. Ковен магических миров,Русское фэнтези,АСТ,978-5-17-156495-7,16+,2023,384,Твёрдый переплёт,газетная,138x208  мм,0.38  кг
Добрынина Елена Владимировна: Эмма Дженкинс,679 ₽,Елена Добрынина,Young Adult. Молодежное российское фэнтези,Русское фэнтези,Нет данных,978-5-04-186907-6,16+,2023,512,Твёрдый переплёт,офсет,131x205  мм,0.46  кг
Рок Натали: Кровь и Клятва,679 ₽,Натали Рок,Young Adult. Молодежное российское фэнтези,Русское фэнтези,"Эксмо, Freedom",978-5-04-189102-2,16+,2023,384,Твёрдый переплёт,офсет,135x206  мм,0.37  кг
Харос Рина: Проклятие Персефоны,620 ₽,Рина Харос,Young Adult. Хиты молодежного фэнтези,Русское фэнтези,"Эксмо, Like Book, Редакция 1",978-5-04-181249-2,18+,2023,320,Твёрдый переплёт,офсет,142x210  мм,0.40  кг
Бруша Анна: Ведьма и ее питомцы,1 869 ₽,Анна Бруша,Нет данных,Русское фэнтези,Нет данных,978-5-517-10176-1,16+,2023,324,Твёрдый переплёт,Нет данных,154x217  мм,0.51  кг
Взгляд Дмитрий: Дни Великой Пустоши. Изгой,1 444 ₽,Дмитрий Взгляд,Дни Великой Пустоши,Русское фэнтези,RUGRAM,978-5-517-10225-6,16+,2023,282,Твёрдый переплёт,Нет данных,154x216  мм,0.40  кг
Арьяр Ирмата: Лорды гор. Любовь и корона,620 ₽,Ирмата Арьяр,Необыкновенная магия. Шедевры Рунета,Русское фэнтези,"АСТ, Жанры",978-5-17-156915-0,16+,2023,416,Твёрдый переплёт,газетная,131x206  мм,0.32  кг
Архарова Юлия Андреевна: Школа на краю света,747 ₽,Юлия Архарова,ФантАзия,Русское фэнтези,"АСТ, Mainstream",978-5-17-157389-8,16+,2023,656,Твёрдый переплёт,газетная,145x218  мм,0.70  кг
Лехчина Яна: Год Змея,722 ₽,Яна Лехчина,Young Adult. Книжный бунт. Новые сказки,Русское фэнтези,"Эксмо, Черным-бело, Редакция 1",978-5-04-186889-5,16+,2023,416,Твёрдый переплёт,офсет,130x207  мм,0.41  кг
Игнатова Наталья Владимировна: Последнее небо,1 869 ₽,Наталья Игнатова,Принц полуночи,Русское фэнтези,RUGRAM,978-5-517-03951-4,18+,2022,470,Мягкий переплёт,Нет данных,153x217  мм,0.68  кг
"Шапочкин Александр Игоревич, Широков Алексей Викторович: Испытание клана",620 ₽,"Александр Шапочкин, Алексей Широков",Фэнтези-магия,Русское фэнтези,АСТ,978-5-17-153494-3,16+,2023,352,Твёрдый переплёт,газетная,130x205  мм,0.28  кг
"Голдин Ина, Пента Гертруда: Твоя капля крови",637 ₽,"Ина Голдин, Гертруда Пента",Твоя капля крови,Русское фэнтези,Popcorn Books,978-5-6048362-9-3,16+,2023,704,Мягкий переплёт,Нет данных,140x210  мм,0.65  кг
Маркмирова Екатерина: Крылья изгнанной,1 869 ₽,Екатерина Маркмирова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-10055-9,18+,2023,394,Твёрдый переплёт,Нет данных,153x217  мм,0.52  кг
Минти Бук: Мальварис. Битва Тьмы и Молний,1 359 ₽,Бук Минти,Мальварис,Русское фэнтези,RUGRAM,978-5-517-09411-7,18+,2023,284,Твёрдый переплёт,Нет данных,153x218  мм,0.40  кг
Владимиров Вадим: Я не умру вчера: фантастический роман,494 ₽,Вадим Владимиров,Нет данных,Русское фэнтези,Нет данных,978-5-7205-1953-7,16+,2023,206,Твёрдый переплёт,Нет данных,155x220  мм,0.36  кг
Казинникова Анна: Истинная вера. Кн. 1,1 147 ₽,Анна Казинникова,Wahnsland,Русское фэнтези,RUGRAM,978-5-517-10099-3,18+,2023,224,Твёрдый переплёт,Нет данных,153x217  мм,0.40  кг
Григорова Юлия: Наследники трех родов,1 529 ₽,Юлия Григорова,Наследие трех судеб,Русское фэнтези,RUGRAM,978-5-517-10276-8,18+,2023,368,Твёрдый переплёт,Нет данных,153x217  мм,0.49  кг
Морриган Лана: Свидание с вампиром,1 232 ₽,Лана Морриган,Любовь на века,Русское фэнтези,RUGRAM,978-5-517-10339-0,18+,2023,264,Твёрдый переплёт,Нет данных,153x217  мм,0.37  кг
Масликов Вадим: Нифалем,919 ₽,Вадим Масликов,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-5930-0,18+,2023,296,Мягкий переплёт,Нет данных,145x205  мм,0.36  кг
Зиман Меркат: Обнаружители Магии,759 ₽,Меркат Зиман,Нет данных,Русское фэнтези,Издательские решения,978-5-0056-8686-2,18+,2023,294,Мягкий переплёт,Нет данных,145x205  мм,0.36  кг
Федоров Андрей: Большие приключения в Малом КуКошкино продолжаются: Эльфы. Хобо Лун,1 034 ₽,Андрей Федоров,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-7371-9,6+,2023,386,Нет данных,Нет данных,145x205  мм,0.47  кг
Дельсат Владарг: Мэйделе,1 099 ₽,Владарг Дельсат,Нет данных,Русское фэнтези,Издательские решения,978-5-0059-8441-8,16+,2023,478,Нет данных,Нет данных,145x205  мм,0.57  кг
Калюжная Катерина: Сердце Дьявола: Роман-фэнтези,1 569 ₽,Катерина Калюжная,Нет данных,Русское фэнтези,Нет данных,978-5-00143-390-3,18+,2021,428,Нет данных,Нет данных,155x215  мм,0.61  кг
Богданова Вероника: Монстр из Зазеркалья,439 ₽,Вероника Богданова,Нет данных,Русское фэнтези,Нет данных,978-5-00143-609-6,18+,2021,136,Мягкий переплёт,Нет данных,144x204  мм,0.18  кг
Хабло Александр Александрович: Сумеречный патруль. Золотой след,709 ₽,Александр Хабло,Нет данных,Русское фэнтези,Нет данных,978-5-00143-670-6,12+,2022,248,Твёрдый переплёт,Нет данных,153x213  мм,0.41  кг
Хэйс Риган: Пробуждение тьмы,662 ₽,Риган Хэйс,Сумрачные искусства,Русское фэнтези,АСТ,978-5-17-157983-8,16+,2023,352,Твёрдый переплёт,газетная,132x207  мм,0.35  кг
Штольц Евгения: Демонология Сангомара. Хозяева севера,790 ₽,Евгения Штольц,Демонология Сангомара,Русское фэнтези,МИФ,978-5-00214-252-1,16+,2023,384,Твёрдый переплёт,офсет,129x206  мм,0.46  кг
Сычева Марина: Солнце в силках,705 ₽,Марина Сычева,Red Violet. Темные миры,Русское фэнтези,МИФ,978-5-00214-339-9,16+,2023,384,Твёрдый переплёт,офсет,130x207  мм,0.40  кг
Черенкова Любовь Юрьевна: Евангелина,969 ₽,Любовь Черенкова,Нет данных,Русское фэнтези,Нет данных,978-5-00143-392-7,12+,2023,216,Твёрдый переплёт,Нет данных,153x212  мм,0.38  кг
Аляева Галина: Подобна свету,869 ₽,Галина Аляева,Нет данных,Русское фэнтези,Нет данных,978-5-00187-306-8,16+,2023,238,Мягкий переплёт,Нет данных,153x213  мм,0.39  кг
Бруша Анна: Мусорная магия,1 784 ₽,Анна Бруша,Нет данных,Русское фэнтези,RUGRAM,978-5-517-10271-3,16+,2023,372,Твёрдый переплёт,Нет данных,153x217  мм,0.57  кг
"Артеменко-Якушева Мария: Век серебряный, век золотой",594 ₽,Мария Артеменко-Якушева,Нет данных,Русское фэнтези,Нет данных,978-5-4491-1714-4,16+,2023,162,Твёрдый переплёт,Нет данных,153x217  мм,0.32  кг
Хатуцкий Дмитрий Андреевич: Отражение в окне: фантастический роман,1 249 ₽,Дмитрий Хатуцкий,Нет данных,Русское фэнтези,Нет данных,978-5-00143-661-4,16+,2022,280,Нет данных,Нет данных,155x215  мм,0.43  кг
Лисина Александра: Академия высокого искусства-2. Магиня,1 699 ₽,Александра Лисина,Академия высокого искусства,Русское фэнтези,RUGRAM,978-5-517-10266-9,16+,2023,296,Твёрдый переплёт,Нет данных,153x217  мм,0.47  кг
Ускова Нелли: Останься со мной живым,1 359 ₽,Нелли Ускова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-10326-0,16+,2023,328,Твёрдый переплёт,Нет данных,153x218  мм,0.45  кг
Волей Анна: Шарусси,1 954 ₽,Анна Волей,Шарусси,Русское фэнтези,RUGRAM,978-5-517-10228-7,18+,2023,424,Твёрдый переплёт,Нет данных,153x217  мм,0.62  кг
Соболянская Елизавета Владимировна: Женить ректора,1 444 ₽,Елизавета Соболянская,Зануда,Русское фэнтези,RUGRAM,978-5-517-10346-8,16+,2023,330,Твёрдый переплёт,Нет данных,153x217  мм,0.45  кг
Соболянская Елизавета Владимировна: Украсть Ночного короля,1 232 ₽,Елизавета Соболянская,Зануда,Русское фэнтези,RUGRAM,978-5-517-10208-9,16+,2023,294,Твёрдый переплёт,Нет данных,153x217  мм,0.41  кг
Маркмирова Екатерина: Падший. Вопреки,1 614 ₽,Екатерина Маркмирова,Падший ангел,Русское фэнтези,RUGRAM,978-5-517-10363-5,16+,2023,364,Твёрдый переплёт,Нет данных,153x217  мм,0.55  кг
Янук Елена Федоровна: Эмилер,1 274 ₽,Елена Янук,"Звезды, ветер и мы",Русское фэнтези,RUGRAM,978-5-517-10369-7,16+,2023,302,Твёрдый переплёт,Нет данных,153x217  мм,0.42  кг
Павловская Яна: Тропами бесконечности,977 ₽,Яна Павловская,Хроники смежных миров,Русское фэнтези,RUGRAM,978-5-517-09907-5,18+,2023,202,Твёрдый переплёт,Нет данных,135x207  мм,0.27  кг
Янук Елена Федоровна: Чудеса,1 614 ₽,Елена Янук,Волшебство,Русское фэнтези,RUGRAM,978-5-517-09884-9,12+,2023,416,Твёрдый переплёт,Нет данных,153x217  мм,0.54  кг
Зябкова Наталия: Ядовитые Земли,1 614 ₽,Наталия Зябкова,Ядовитые земли,Русское фэнтези,RUGRAM,978-5-517-10371-0,16+,2023,338,Твёрдый переплёт,Нет данных,153x217  мм,0.46  кг
"Вудворт Франциска: Куда приводят мечты, или Внимание! Мой муж - волшебник",620 ₽,Франциска Вудворт,Фэнтези-бестселлеры Франциски Вудворт,Русское фэнтези,"АСТ, Жанры",978-5-17-155536-8,16+,2023,384,Твёрдый переплёт,газетная,133x207  мм,0.30  кг
Демаро Лизз: Небесный берег,747 ₽,Лизз Демаро,Откровения мрака,Русское фэнтези,АСТ,978-5-17-157279-2,18+,2023,576,Твёрдый переплёт,газетная,143x218  мм,0.61  кг
Аффи Алина: Миднайт Хилл,747 ₽,Алина Аффи,Young Adult. Моментальный хит,Ужасы. Мистика,"АСТ, Mainstream",978-5-17-157478-9,18+,2023,544,Твёрдый переплёт,газетная,130x205  мм,0.47  кг
Лайм Сильвия: Стихийный мир. Дракон-вампир,527 ₽,Сильвия Лайм,ЛитРес: Фэнтези,Русское фэнтези,Яуза,978-5-00155-609-1,16+,2023,320,Твёрдый переплёт,Нет данных,130x205  мм,0.32  кг
"Стрешнев Д.: Немного великолепия, одолженного у богов",1 359 ₽,Стрешнев Д.,Нет данных,Русское фэнтези,RUGRAM,978-5-517-08836-9,18+,2022,318,Твёрдый переплёт,Нет данных,152x217  мм,0.43  кг
"Ветер Морвейн: Вокзал мертвых душ. Кн. 3. Ветер с Севера. Кн. 4. Там, где нас нет",2 124 ₽,Морвейн Ветер,Вокзал мертвых душ,Русское фэнтези,Нет данных,978-5-517-08221-3,18+,2022,492,Нет данных,Нет данных,155x215  мм,0.71  кг
Сокол Аня: Шаг в пустоту,1 529 ₽,Аня Сокол,На неведомых тропинках,Русское фэнтези,Нет данных,978-5-517-06744-9,16+,2022,282,Нет данных,Нет данных,155x215  мм,0.45  кг
Сокол Аня: Шаг в темноту. На неведомых тропинках,1 784 ₽,Аня Сокол,На неведомых тропинках,Русское фэнтези,Нет данных,978-5-517-06743-2,16+,2022,362,Нет данных,Нет данных,155x215  мм,0.56  кг
Малиновская Елена Михайловна: Кодекс дракона,1 529 ₽,Елена Малиновская,Миры Елены Малиновской,Русское фэнтези,RUGRAM,978-5-517-05458-6,16+,2022,352,Твёрдый переплёт,Нет данных,153x217  мм,0.54  кг
"Хартманн Александра: Солнце, что следует за Луной. Ожидание",1 529 ₽,Хартманн Александра,"Солнце, что следует за Луной",Русское фэнтези,RUGRAM,978-5-517-08459-0,16+,2022,346,Твёрдый переплёт,Нет данных,153x217  мм,0.53  кг
Енодина Анастасия: Лунный эльф для сиротки,1 614 ₽,Анастасия Енодина,Нет данных,Русское фэнтези,Нет данных,978-5-517-08483-5,16+,2022,322,Нет данных,Нет данных,155x215  мм,0.58  кг
Комарова Марина Сергеевна: Будьте моей вдовой,1 232 ₽,Марина Комарова,Нет данных,Русское фэнтези,Нет данных,978-5-517-08959-5,16+,2022,278,Нет данных,Нет данных,155x215  мм,0.38  кг
"Рис Кларисса, Миляева Кристина: Тайная мистерия для золотой бабочки",1 147 ₽,"Кларисса Рис, Кристина Миляева",Сны Верноры,Русское фэнтези,Нет данных,978-5-517-08382-1,16+,2022,188,Нет данных,Нет данных,155x215  мм,0.33  кг
